B744ACA,Air Canada (ACA)
B744ACXBCF,ACG Air Cargo Germany (BCF) (ACX)
B744AFF,Aeroflot Nord VA (AFF)
B744AFR,Air France (AFR)
B744AFRBCF,Air France Cargo (BCF) (AFR)
B744AGA,Air Germany VA (AGA)
B744AIC,Air India (AIC)
B744AKE,AKE Airlines VA (AKE)
B744ALA,AeroClub L'Aquila Virtual (ALA)
B744ALZ,AlAndalus Airlines VA (ALZ)
B744AMZ,Amazon Group VA (AMZ)
B744ANA,All Nippon Airways (ANA)
B744ANY,Anyway VA (ANY)
B744ANZ,Air New Zealand (ANZ)
B744ARC,Arcade Air Provence VA (ARC)
B744ARG,Aerolineas Argentinas (ARG)
B744ARP,Aeroplano Virtual VA (ARP)
B744AUH,Abu Dhabi Amiri Flight (AUH)
B744AXN,GRAlexandAIR.net VA (AXN)
B744AYC,Aviaco (AYC)
B744BAW,British Airways (BAW)
B744BAW2,British Airways (One World) (BAW)
B744BBRCRG,Santa Barbara Airlines (cargo) (BBR)
B744BFP,BalkanFly VA (BFP)
B744BGN,Birgen Air VA (BGN)
B744BHA,Bohemia Airlines VA (BHA)
B744BOE,Boeing Commercial Group (BOE)
B744BOG,Breogan Airways (BOG)
B744BUH,Bursa Airlines VA (BUH)
B744CAL,China Airlines (ge) (CAL)
B744CAL2,China Airlines (50 years) (CAL)
B744CAOBCF,Air China Cargo (BCF) (CAO)
B744CCA,Air China (CCA)
B744CEL,Caeli VA (CEL)
B744CFGOLD,Condor (oc) (CFG)
B744CKSBCF,Kalitta Air (BCF) (CKS)
B744CKY,Cloudsky Airways VA (CKY)
B744CLX,Cargolux (CLX)
B744CLXBCF,Cargolux International (BCF) (CLX)
B744CNS,Conesul VA (CNS)
B744COL,Colonia Air VA (COL)
B744CPA,Cathay Pacific Airways (CPA)
B744CPA2,Cathay Pacific (Hong Kong) (CPA)
B744CPABCF,Cathay Pacific Cargo (BCF) (CPA)
B744CRL,Corsair International (F-GTUI) (CRL)
B744CRL2,Corsair International (F-HLOV) (CRL)
B744CYB,Cyber Air VA (CYB)
B744DAL,Delta Airlines (DAL)
B744DFL,DutchFly VA (DFL)
B744DFY,Dreamfly Airways VA (DFY)
B744DLH,Lufthansa (DLH)
B744DLH2,Lufthansa (50 years) (DLH)
B744DSY,Dream Sky Airlines VA (DSY)
B744DUB,Dubai Airwing (DUB)
B744EAS,European Airwings (EAS)
B744EEP,European Express (EEP)
B744ELY,El Al Israel Airlines (ELY)
B744EMI,Emisphair VA (EMI)
B744EMR,Emerald Air VA (EMR)
B744ESH,European Air Shuttle VA (ESH)
B744EUC,EuropeSky VA Aircargo (EUC)
B744EUK,Euskalair VA (EUK)
B744EVA,EVA Air Taiwan (EVA)
B744FFV,FFM Virtual (FFV)
B744FLP,Flap Airlines VA (FLP)
B744FOR,Flyover VA (FOR)
B744FWS,FlyAntilles Airways VA (FWS)
B744GAL,German Airlines VA (GAL)
B744GFV,German Flights VA (GFV)
B744GIA,Garuda Indonesia (GIA)
B744GIA2,Garuda Indonesia (Visit Indonesia) (GIA)
B744GLL,German-Lloyd VA (GLL)
B744GRE,Great Airways VA (GRE)
B744GRW,Greece Airways VA (GRW)
B744GTI2,Atlas Air (N263SG) (GTI)
B744GTI3,Atlas Air (GTI)
B744GTIBCF,Atlas Air (BCF) (GTI)
B744GWG,German Airwings VA (GWG)
B744HDABCF,Hong Kong Dragon (BCF) (HDA)
B744HES,Hesperia (HES)
B744HIS,Hispania Airways VA (HIS)
B744IAW,Iraqi Airways (IAW)
B744IBF,IberFlight VA (IBF)
B744IHY,Istanbul Airlines VA (IHY)
B744IRM,Mahan Air (IRM)
B744IVV,Italiani Volanti VA (IVV)
B744JAL,Japan Airlines (JAL)
B744JGO,Jet's Go VA (JGO)
B744KAC,Kuwait Airways (KAC)
B744KAL2,Korean Air (KAL)
B744KALBCF,Korean Air (BCF) (KAL)
B744KFY,Kafly VA (KFY)
B744KLM,KLM Royal Dutch Airlines (KLM)
B744KLM2,KLM Royal Dutch Airlines (asia) (KLM)
B744KNE,Nas Air (KNE)
B744KVL,CARAVAiles VA (KVL)
B744LCZ,Czechliner VA (LCZ)
B744LIT,Littoral Airlines VA (LIT)
B744LNI,Lion Air (LNI)
B744LST,Lusitaniair VA (LST)
B744MAS,Malaysia Airlines (MAS)
B744MAV,Matsakoni VA (MAV)
B744MHL,Millenium Air VA (MHL)
B744MPHBCF,Martinair (Safari Connection) (MPH)
B744NCR,National Air Cargo Group (NCR)
B744NEC,NeckarAirways VA (NEC)
B744NHL,Netherline VA (NHL)
B744NPS,Nephis VA (NPS)
B744NWA,Northwest Airlines (NWA)
B744OAH,Olympic Airlines VA (OAH)
B744OHK,Oasis Hong Kong Airlines (OHK)
B744OSE,Aeroservice VA (OSE)
B744PAC,Polar Air Cargo (PAC)
B744PAL,Philippine Airlines (PAL)
B744PBL,Parablinda VA (PBL)
B744PLM,Pullmantur Air (PLM)
B744PNW,Palestinian Airlines (PNW)
B744PWV,Pannonwings VA (PWV)
B744QFA,Qantas (QFA)
B744QFA2,Qantas (Wunala) (QFA)
B744RAM,Royal Air Maroc (RAM)
B744RSU,Aerosur (RSU)
B744SAA,South African Airways (SAA)
B744SEY,Air Seychelles (SEY)
B744SIA,Singapore Airlines (SIA)
B744SOOBCF,Southern Air (SOO)
B744SUN,Sunland Holdings VA (SUN)
B744SVA,Saudi Arabian Airlines (SVA)
B744SWI,Sunwings Express VA (SWI)
B744SYC,Syrian-Express-Cargo VA (SYC)
B744SYR,Syrian Arab VA (SYR)
B744TBACRG,TransBrasil Virtual VA (cargo) (TBA)
B744TCA,Tunis Carthage VA (TCA)
B744TEF,Terra Fly VA (TEF)
B744THA,Thai (THA)
B744THA2,Thai (retro) (THA)
B744THACRG,Thai Airways International (cargo) (THA)
B744TRI,Trinacria Air (TRI)
B744TSO,Transaero (TSO)
B744UAL,United Airlines (UAL)
B744UKV,Fly UK VA (UKV)
B744ULA,Zuliana de Aviación (ULA)
B744VAR,Virtualiroma VA (VAR)
B744VBD,Va Bird VA (VBD)
B744VBV,V-Bird VA (VBV)
B744VIP,Virtual Pilots Association VA (VIP)
B744VIR,Virgin Atlantic (VIR)
B744VIR2,Virgin Atlantic (G-VROY) (VIR)
B744VNS,Venus VA (VNS)
B744VRG,Varig (VRG)
B744VSW,Virtual Skyways (VSW)
B744WCT,27th Squadron (WCT)
B744WFX,Westfalia Express (WFX)
B744WOA,World Airways (WOA)
B744XAS,Alair VA (XAS)
B744XRW,X-Airways VA (XRW)
B744XRW2,X-Airways VA (Saint-Petersburg) (XRW)
B744ZRV,Zirve Airlines VA (ZRV)
B744AARCRG,Asiana Airlines (cargo) (AAR)
B744ABW,AirBridge Cargo (ABW)
B744ABZCRG,Air Transport Atlantic VA (cargo) (ABZ)
B744AFRCRG,Air France (cargo) (AFR)
B744AZG,Silkway West Airlines (AZG)
B744CALCRG,China Airlines (cargo) (CAL)
B744CBB,Cargo B Airlines (CBB)
B744CCACRG,Air China (Cargo) (CCA)
B744CKK,China Cargo Airlines Ltd. (CKK)
B744CSNCRG,China Southern Airliners (Cargo) (CSN)
B744CVZCRG,Czech Virtual Air Rescue Service VA (CVZ)
B744DHK,DHL Air Ltd (kalitta air) (DHK)
B744DSYCRG,Dream Sky Airlines VA (cargo) (DSY)
B744ELYCRG,El Al (cargo) (ELY)
B744EVACRG,EVA Air Taiwan (Cargo) (EVA)
B744GSS,Global Supply Systems (Cargo) (GSS)
B744GTICRG,Atlas Air (cargo) (GTI)
B744GWGCRG,German Airwings VA (Cargo) (GWG)
B744GWL,Great Wall Airlines (GWL)
B744HEVCRG,HeavyCargoAustria (cargo) (HEV)
B744ICV,Cargolux Italia (ICV)
B744JAE,Jade Cargo International (JAE)
B744JALCRG,Japan Airlines (cargo) (JAL)
B744JGOCRG,Jet's Go VA (cargo) (JGO)
B744KAL,Korean Air (Cargo) (KAL)
B744KFYCRG,Kafly VA (cargo) (KFY)
B744KLMCRG,KLM Royal Dutch Airlines (cargo) (KLM)
B744MPHCRG,Martinair (cargo) (MPH)
B744NCA,Nippon Cargo Airlines (NCA)
B744PAC2,Polar Air Cargo (PAC)
B744SQC,Singapore Airlines (SinCargo) (SQC)
B744SVACRG,Saudi Arabian Airlines (cargo) (SVA)
B744TAYCRG,TNT Airways (cargo) (TAY)
B744UAECRG,Emirates (Cargo) (UAE)
B744UPSCRG,United Parcel Service Company (cargo) (UPS)
B744VARCRG,Virtualiroma VA (cargo) (VAR)
B744VBVCRG,V-Bird VA (cargo) (VBV)
B744YZR,Yangtze River Express (YZR)
B748A,Boeing (Default aircraft) (BOE)
B748ABW,AirBridge Cargo (ABW)
B748AUZ,Australian Virtual Airlines VA (AUZ)
B748BOE,Boeing (Default aircraft) (BOE)
B748CCA,Air China (CCA)
B748CLX,Cargolux International (CLX)
B748COJ,Coljet VA (COJ)
B748CPA,Cathay Pacific Airlines (Cargo) (CPA)
B748CPA2,Cathay Pacific Airlines (Hong Kong Trader) (CPA)
B748DFL,DutchFly VA (DFL)
B748DLH,Lufthansa (DLH)
B748ETD,Etihad Airways (Cargo) (ETD)
B748GSS,Global Supply Systems (GSS)
B748GTI,Atlas Air (GTI)
B748GTI2,Atlas Air (Polar DHL) (GTI)
B748GTI3,Atlas Air (Spirit of Panalpina) (GTI)
B748KAL,Korean Airlines (Cargo) (KAL)
B748NCA,Nippon Cargo Airlines (NCA)
B748QAF,Qatar Amiri Flight (QAF)
B748SVACRG,Saudi Arabian Airlines (cargo) (SVA)
B748TBACRG,TransBrasil Virtual VA (cargo) (TBA)
B748AZG,Silkway West Airlines (AZG)
B748B,Boeing (Default aircraft) (freighter) (BOE)
B748BOE2,Boeing (Default aircraft) (freighter) (BOE)
B74S,Corse Air International (CRL)
B74SARG,Aerolineas Argentinas (ARG)
B74SCCA,Air China (CCA)
B74SIRA,Iran Air (IRA)
B74SPAA,Pan American Airways (PAA)
B74SSYR,Syrian Arab VA (SYR)
B74STWA,Trans World Airlines (TWA)
B752AAL,American Airlines (AAL)
B752ABN,Albatros Virtual VA (ABN)
B752AEU,Astraeus (Iron Maiden) (AEU)
B752AEUOLD,Astraeus (old colours) (AEU)
B752AHY,Azerbaijan Airlines (AHY)
B752AHYOLD,Azerbaijan Airlines (old colours) (AHY)
B752AIZ,Arkia (AIZ)
B752ALZ,AlAndalus Airlines VA (ALZ)
B752AMX,Aeromexico (AMX)
B752AMZCRG,Amazon Group VA (cargo) (AMZ)
B752APW,Arrow Cargo (APW)
B752ARP,Aeroplano Virtual VA (ARP)
B752ATN,ATI - Air Transport International (ATN)
B752AVA,Avianca (AVA)
B752AVE,Avensa (AVE)
B752AWC,Titan Airways (G-ZAPX) (AWC)
B752AWC2,Titan Airways (G-POWH) (AWC)
B752BAL,Britannia Airways (BAL)
B752BAW,British Airways (BAW)
B752BBR,Santa Barbara Airlines (BBR)
B752BCS,European Air Transport (BCS)
B752BCSOLD,Eurotrans DHL Belgium (old colours) (BCS)
B752BERBHP,Air Berlin (Belair) (BER)
B752BGN,BirgenAir VA (BGN)
B752BHP,Belair (BHP)
B752BHPOLD,Belair (old) (BHP)
B752BIE,Air Mediterranee (BIE)
B752BLXFIN,Finnmatkat (Opby Britannia) (BLX)
B752BOE,Boeing Commercial Group (BOE)
B752BOG,Breogan Airways VA (BOG)
B752BPA,Blue Panorama (BPA)
B752CEL,Caeli VA (cargo) (CEL)
B752CFG,Condor Flugdienst (CFG)
B752CFGBLU,Condor Flugdienst (blue) (CFG)
B752CFGOLD,Condor (Old) (CFG)
B752CJT,Cargojet (CJT)
B752CSH,Shanghai Airlines (CSH)
B752CSN,China Southern Airliners (CSN)
B752CTOCRG,Air Catalonia VA (cargo) (CTO)
B752CXA,Xiamen Airlines (CXA)
B752CXN,China Southwest Airlines (CXN)
B752DAL,Delta Airlines (DAL)
B752DAL2,Delta Airlines (J. Lowery) (DAL)
B752DBR,Duchbird (DBR)
B752DHLOLD,DHL - Astar Air Cargo (old colors) (DHL)
B752EAL,Eastern Airlines (EAL)
B752ELY,El Al (ELY)
B752ELYOLD,El Al (old colours) (ELY)
B752EMI,Emisphair VA (EMI)
B752EMR,Emerald Air VA (EMR)
B752ERO,Sun d'or International (ERO)
B752ESH,European Air Shuttle VA (ESH)
B752ETH,Ethiopian Airlines (ETH)
B752ETHCRG,Ethiopian Airlines (cargo) (ETH)
B752EXS,Jet2.com (G-LSAG) (EXS)
B752EXS2,Jet2.com (G-LSAI) (EXS)
B752FAG,Argentine Air Force (Virgen de Luján) (FAG)
B752FAM,Mexican Air Force (FAM)
B752FDX,Federal Express (FDX)
B752FEA,Far Eastern Air Transport (FEA)
B752FIF,Air Finland (FIF)
B752FIN,Finnair (FIN)
B752FJM,Fly Jamaica Airways (FJM)
B752GJT,Girjet (GJT)
B752GLG,Aerolineas Galapagos (GLG)
B752GRL,Air Greenland (GRL)
B752HES,Hesperia Airlines VA (HES)
B752HLN,Air Holland (HLN)
B752HLNOLD,Air Holland Leasing (old colors) (HLN)
B752HMY,Harmony Airways (HMY)
B752IBE,Iberia (IBE)
B752IBF,IberFlight VA (IBF)
B752ICE,Icelandair (ICE)
B752ICECRG,Icelandair (cargo) (ICE)
B752KFY,Kafly VA (KFY)
B752KIW,Royal New Zealand Air Force (KIW)
B752KJC,Air Union (Kras Air) (KJC)
B752KKK,Atlasjet (KKK)
B752KKKOLD,Atlas International (old) (KKK)
B752LST,Lusitaniair VA (LST)
B752LTU,LTU (LTU)
B752MMZ,euroAtlantic Airways (MMZ)
B752MON,Monarch (MON)
B752MOV,Vim Airlines (MOV)
B752MPH,Martinair (MPH)
B752MXA,Mexicana (MXA)
B752MYT,My Travel (MYT)
B752NCR,National Airlines (NCR)
B752PTI,Privatair (PTI)
B752PUA,PLUNA (PUA)
B752PVG,Privilege Style (PVG)
B752PWV,Pannonwings VA (PWV)
B752RNA,Nepal Airlines (RNA)
B752ROM,Aeromar Dominicanas (ROM)
B752SDO,Aerolineas Santo Domingo (SDO)
B752SEY,Air Seychelles (SEY)
B752SSV,Skyservice (SSV)
B752SUN,Sunland Holdings VA (SUN)
B752SVK,Air Slovakia (SVK)
B752SXS,SunExpress (SXS)
B752SYC,Syrian-Cargo-Express VA (SYC)
B752SYL,Yakutia Air (SYL)
B752TCV,TACV Cabo Verde Airlines (TCV)
B752TCX,Thomas Cook Airlines (TCX)
B752TCX2,Thomas Cook Airlines (Egypt) (TCX)
B752TEJ,Taesa Airlines (TEJ)
B752TOM,Thomsonfly (TOM)
B752TOM2,Thomsonfly (First Choice) (TOM)
B752TSC,Air Transat (TSC)
B752TWA,Trans World Airlines (TWA)
B752UAL,United Airlines (UAL)
B752UAL2,United Airlines (New Colours) (UAL)
B752UPS,United Parcel Service Company (UPS)
B752USW,US Airwings VA (USW)
B752UTA,UTAir (UTA)
B752UZB,Uzbekistan Airways (UZB)
B752VBVCRG,V-Bird VA (cargo) (VBV)
B752VLE,Volare (VLE)
B752VLO,Varig Logistica (VLO)
B752VRG,Varig Brazil (VRG)
B752XAS,Alair VA (XAS)
B752XLA,Excel Airways (XLA)
B752XRW,X-Airways VA (XRW)
B752@ULWL,US Air Force (winglets) (@UL)
B752AALWL,American Airlines (winglets) (AAL)
B752AALWL2,American Airlines (New Colours) (winglets) (AAL)
B752AAYWL,Allegiant Air (winglets) (AAY)
B752AVIWL,L'Avion (winglets) (AVI)
B752AWEWL,US Airways (winglets) (AWE)
B752BOEWL,Boeing Commercial Group (BOE)
B752BOSWL,OpenSkies (winglets) (BOS)
B752BTIWL,Air Baltic (winglets) (BTI)
B752COAWL,Continental Airlines (winglets) (COA)
B752DALWL,Delta Airlines (winglets) (DAL)
B752DALWL2,Delta Airlines (Skyteam) (winglets) (DAL)
B752DALWL3,Delta Airlines (N694DL) (winglets) (DAL)
B752DALWL4,Delta Airlines (N709TW) (winglets) (DAL)
B752DFLWL,DutchFly VA (winglets) (DFL)
B752DJTWL,DREAMJET (La Compagnie) (winglets) (DJT)
B752EINWL,Aer Lingus (winglets) (EIN)
B752EUCWL,EuropeSky VA Aircargo (winglets) (EUC)
B752EXSWL,Jet2.com (winglets) (EXS)
B752EXSWL2,Jet2.com (Holidays) (winglets) (EXS)
B752HISWL2,Hispania Airways VA (winglets) (HIS)
B752ICEWL,Icelandair (winglets) (ICE)
B752KVLWL,CARAVAiles VA (winglets) (KVL)
B752KZRWL,Air Astana (winglets) (KZR)
B752NWAWL,Northwest Airlines (winglets) (NWA)
B752PWVWL,Pannonwings VA (winglets) (PWV)
B752SWIWL,Sunwings Express VA (winglets) (SWI)
B752SXSWL,SunExpress (winglets) (SXS)
B752SYTWL,SkyStar Virtual VA (winglets) (SYT)
B752TOMWL,Thomsonfly (winglets) (TOM)
B752UALWL,United Airlines (winglets) (UAL)
B752UKVWL,Fly UK VA (winglets) (UKV)
B752ULAWL,Zuliana de Aviación (winglets) (ULA)
B752USWWL,US Airwings VA (winglets) (USW)
B752UTAWL,UTair Aviation (winglets) (UTA)
B752VEPWL,Vesper Linhas Aereas VA (winglets) (VEP)
B752WOHWL,woh|group VA (winglets) (WOH)
B753AIZ,Arkia (AIZ)
B753AUZ,Australian Virtual Airlines VA (AUZ)
B753BOE,Boeing Commercial Group (BOE)
B753CFG,Condor Flugdienst (CFG)
B753CFGOLD,Condor (oc) (CFG)
B753DAL,Delta Airlines (DAL)
B753HES,Hesperia Airlines VA (HES)
B753NWA,NorthWest Airlines (NWA)
B753TCX,Thomas Cook Airlines (TCX)
B753UAL,United Airlines (UAL)
B753WOH,World of Holidays VA (WOH)
B753AIZWL,Arkia (winglets) (AIZ)
B753BOEWL,Boeing 757-300 (winglets)
B753CFGWL,Condor Flugdienst (winglets) (CFG)
B753CFGWL2,Condor Flugdienst (Sunny Heart) (winglets) (CFG)
B753CFGWL3,Condor Flugdienst (Wir leben Fliegen) (winglets) (CFG)
B753CFGWL4,Condor (Hannover Airport) (winglets) (CFG)
B753CFGWLO,Condor (winglets) (old colors) (CFG)
B753DALWL,Delta Air Lines (winglets) (DAL)
B753ICEWL,Icelandair (winglets) (ICE)
B753TCXWL,Thomas Cook Airlines (winglets) (TCX)
B753UALWL,United Airlines (winglets) (UAL)
B762@FC,Fuerza Aera Colombiana
B762AAA,Ansett Australia (AAA)
B762AAL,American Airlines (AAL)
B762ABX,ABX Air (ABX)
B762ABX2,ABX Air (DHL livery) (ABX)
B762ACA,Air Canada (ACA)
B762ACQ,Aero Continente Perù (ACQ)
B762AEL,AirEurope VA (AEL)
B762AEY,Air Italy (AEY)
B762AMX,Aeromexico (AMX)
B762AMX2,Aeromexico (Skyteam) (AMX)
B762ANA,All Nippon Airways co. ltd (ANA)
B762ANZ,Air New Zealand (ANZ)
B762AVA,Avianca (AVA)
B762AWE,US Airways (AWE)
B762BOE,Boeing Commercial Group (BOE)
B762ELY,El Al (ELY)
B762EVA,EVA Air Taiwan (EVA)
B762FAB,First Air (FAB)
B762GBK,Gabon Airlines (GBK)
B762HLN,Air Holland Leasing (HLN)
B762IAM,Italy Air Force (IAM)
B762JAL,Japan Airlines (JAL)
B762JAV,Jordan Aviation (JAV)
B762LGX,Ligurian Air VA (LGX)
B762MAH,Malev (MAH)
B762MAU,Air Mauritius (MAU)
B762QFA,Qantas Airways (QFA)
B762SRR,Star Air (SRR)
B762TBA,TransBrasil Virtual VA (TBA)
B762TPA,Tampa Cargo (TPA)
B762TWA,Trans World Airlines (TWA)
B762UAL,United Airlines (UAL)
B762UTA,UTAir (UTA)
B762VRG,Varig (VRG)
B762XLA,Excel Airways (XLA)
B763AAL,American Airlines (AAL)
B763AAL2,American Airlines (new colours) (AAL)
B763AAR,Asiana Airlines (AAR)
B763ABN,Albatros VA (ABN)
B763ABX,Air Brixia VA (ABX)
B763ACA,Air Canada (ACA)
B763ADO,Hokkaido International Airlines - Air Do (ADO)
B763AEA,Air Europa (AEA)
B763AEY,Air Italy (AEY)
B763AFF,Aeroflot Nord VA (AFF)
B763AFL,Aeroflot (AFL)
B763AGA,Air Germany VA (AGA)
B763AGN,Air Gabon (AGN)
B763AHS,Air Hispania VA (AHS)
B763AHY,Azerbaijan Airlines (AHY)
B763AJTCRG,Amerijet International (cargo) (AJT)
B763AKE,AKE Airlines VA (AKE)
B763ALM,ALM Antillean Airlines (ALM)
B763AMX,Aeromexico (AMX)
B763AMZ,Amazon Group VA (AMZ)
B763ANA,All Nippon Airlines (ANA)
B763ANG,Air Niugini (ANG)
B763ANY,Anyway VA (ANY)
B763ANZ,Air New Zealand (ANZ)
B763ARC,Arcade Air Provence VA (ARC)
B763ATN,ATI - Air Transport International (ATN)
B763AUA,Austrian Airlines (Star Alliance) (AUA)
B763AVA,Avianca (AVA)
B763AVE,Avensa VA (AVE)
B763AWC,Titan Airways (AWC)
B763AYC,Aviaco (AYC)
B763AZA,Alitalia (AZA)
B763AZA2,Alitalia (AZA)
B763AZG,Silkway West Airlines (AZG)
B763BAL,Britannia Airways (BAL)
B763BAW,British Airways (BAW)
B763BAW2,British Airways (Crest) (BAW)
B763BBR,Santa Barbara Airlines (BBR)
B763BCC,Business Air (BCC)
B763BGN,Birgen Air VA (BGN)
B763BHA,Bohemia Airlines VA (BHA)
B763BHP,Belair (Air Berlin) (BHP)
B763BHPOLD,Belair (Old) (BHP)
B763BOE,Boeing Commercial Group (BOE)
B763BOG,Breogan Airways (BOG)
B763BOV,Boliviana de Aviacion (BOV)
B763BPA,Blue Panorama (BPA)
B763BRU,Belavia (Belarus Government) (BRU)
B763CCA,Air China (CCA)
B763CEL,Celtic Virtual (winglets) (CEL)
B763CES,China Eastern (CES)
B763CFG,Condor Flugdienst (CFG)
B763CHH,Hainan Airlines (CHH)
B763CJT,Cargojet Airways (CJT)
B763CKY,Cloudsky Airways VA (winglets) (CKY)
B763CNS,Conesul VA (CNS)
B763CRC,Camair Co (CRC)
B763CRLTUI,Corsair TUI (CRL)
B763CSH,Shanghai Airlines (CSH)
B763CYB,Cyber Air VA (CYB)
B763CZW,Czech Wings VA (CZW)
B763DAH,Air Algerie (DAH)
B763DAH2,Air Algerie (7T-VJH) (DAH)
B763DAL,Delta Airlines (DAL)
B763DAT,SN Brussels Airlines (DAT)
B763DCA,Dutch Caribbean Airlines (DCA)
B763DFY,Dreamfly Airways VA (DFY)
B763DLH,Lufthansa (DLH)
B763EEP,European Express (EEP)
B763ELY,El Al Israel Airlines (4X-EAJ) (ELY)
B763ELY2,El Al Israel Airlines (ELY)
B763EMI,Emisphair VA (EMI)
B763EMR,Emerald Air VA (EMR)
B763ETD,Etihad Airways (ETD)
B763ETH,Ethiopian Airlines (ETH)
B763EUK,Euskalair VA (EUK)
B763FDX,Federal Express (FDX)
B763FFV,FFM Virtual (FFV)
B763FJM,Fly Jamaica Airways (FJM)
B763GAL,German Airlines VA (GAL)
B763GFA,Gulf Air (GFA)
B763GFA2,Gulf Air (50 years) (GFA)
B763GFA3,Gulf Air (Old Colours) (GFA)
B763GFV,German Flights VA (GFV)
B763GIA,Garuda Indonesia (GIA)
B763GRE,Great Airways VA (GRE)
B763GRW,Greece Airways VA (GRW)
B763GSM,FlyGlobespan (GSM)
B763GTI,Atlas Air (GTI)
B763GWG,German Airwings VA (GWG)
B763HES,Hesperia Airlines (HES)
B763HLN,Air Holland (HLN)
B763HVN,Vietnam Airlines (HVN)
B763HXL,HollandExel (HXL)
B763IAW,Iraqi Airways (IAW)
B763IBE,Iberia (IBE)
B763IBF,IberFlight VA (IBF)
B763ISR,Israir (ISR)
B763ISS,Meridiana (ISS)
B763JAA,Jet Asia Airways (JAA)
B763JAF,JetairFly (JAF)
B763JAL,Japan Airlines (JAL)
B763JGO,Jet's Go VA (JGO)
B763JGOCRG,Jet's Go VA (cargo) (JGO)
B763KFY,Kafly VA (KFY)
B763KHK,Kharkiv Airlines (KHK)
B763KLM,KLM Royal Dutch Airlines (KLM)
B763KLMOLD,KLM Royal Dutch Airlines (Old) (KLM)
B763KQA,Kenya Airways (KQA)
B763KVL,CARAVAiles (KVL)
B763KZR,Air Astana (KZR)
B763LAE,Lineas Aereas Colombianas (LAE)
B763LAN,LAN Chile (LAN)
B763LCZ,Czechliner VA (LCZ)
B763LDA,Lauda Air (LDA)
B763LDA2,Lauda Air (Star Alliance) (white tail) (LDA)
B763LDASA,Lauda Air Star Airlines (LDA)
B763LIT,Littoral Airlines VA (LIT)
B763LLB,Lloyd Aereo Boliviano (LLB)
B763LOT,LOT Polish Airlines (LOT)
B763LST,Lusitaniair VA (LST)
B763LTU,LTU International Airways (LTU)
B763MAA,Mas Air Cargo (MAA)
B763MAH,Malev Hungarian Airlines (MAH)
B763MAV,Matsakoni VA (MAV)
B763MDG,AIR MADAGASCAR (MDG)
B763MGL,MIAT Mongolian Airlines (MGL)
B763MMZ,euroAtlantic Airways (MMZ)
B763MMZCRG,euroAtlantic Airways (cargo) (MMZ)
B763MON,Monarch (MON)
B763MPH,Martinair Holland (MPH)
B763MSR,Egypt Air (MSR)
B763MXA,Mexicana (MXA)
B763MYT,MyTravel (MYT)
B763NAO,North American Airlines (NAO)
B763NOS,Neos (NOS)
B763NWS,Nordwind Airlines (NWS)
B763NWS2,Nordwind Airlines (Pegas Touristik White) (NWS)
B763NWS3,Nordwind Airlines (Pegas Touristik Blue) (NWS)
B763OAE,Omni Air International (OAE)
B763OAH,Olympic Airlines VA (OAH)
B763OEA,Orient Thai Airlines (OEA)
B763OOM,ZOOM Airlines (OOM)
B763OSE,Aeroservice VA (OSE)
B763PBL,Parablinda Airlines (PBL)
B763PUA,PLUNA (PUA)
B763PVC,Pivivo Air VA (PVC)
B763PVG,Privilege Style (PVG)
B763PVI,PVI Airlines VA (PVI)
B763PWV,Pannonwings VA (PWV)
B763QFA,Qantas Airways (QFA)
B763QFA2,Qantas Airways (Disney Planes) (QFA)
B763RAM,Royal Air Maroc (RAM)
B763RBA,Royal Brunei Airlines (RBA)
B763RKA,Air Afrique (RKA)
B763ROM,Aeromar Dominicanas (ROM)
B763SAB,Sabena (SAB)
B763SAS,Scandinavian Airlines (SAS)
B763SBI,S7 Airlines (SBI)
B763SDM,Rossiya Airlines (SDM)
B763SEY,Air Seychelles (SEY)
B763SGR,SkyGreece Airlines (SGR)
B763SLR,Sobelair (SLR)
B763SUN,Sunland Holdings VA (SUN)
B763SVW,Global Jet Luxembourg (P4-MES) (SVW)
B763SWI,Sunwings Express VA (SWI)
B763SYC,Syrian-Cargo-Express VA (SYC)
B763SYR,Syrian Arab VA (SYR)
B763TAM,TAM Linhas Aereas (TAM)
B763TBA,TransBrasil Virtual VA (TBA)
B763TCX,Thomas Cook Airlines (TCX)
B763TEJ,Taesa Airlines (TEJ)
B763TMA,Trans Mediterranean Airways Cargo (TMA)
B763TNA,TransAsia VA (TNA)
B763TOM,Thomsonfly (TOM)
B763TSO,Transaero (TSO)
B763TUA,Turkmenistan Airlines (TUA)
B763TUS,ABSA Cargo (TUS)
B763UAL,United Airlines (UAL)
B763UDN,Dniproavia (UDN)
B763ULA,Zuliana de Aviación (ULA)
B763UPS,United Parcel Service (UPS)
B763UZB,Uzbekistan Airways (Government) (UZB)
B763UZB2,Uzbekistan Airways (UZB)
B763VAR,Virtualiroma VA (VAR)
B763VBV,V-Bird VA (VBV)
B763VEP,Vesper Linhas Aereas VA (VEP)
B763VIP,Virtual Pilots Association VA (VIP)
B763VLE,Volare VA (VLE)
B763VNS,Venus VA (VNS)
B763VRG,Varig Brazil (VRG)
B763WFX,Westfalia Express (WFX)
B763XAS,Alair VA (XAS)
B763ZZZ,Las Vegas Sands VIP Jet (ZZZ)
B763AALWL,American Airlines (winglets) (AAL)
B763AALWL2,American Airlines (Oneworld) (winglets) (AAL)
B763ABBWL,Air Bilbao (winglets) (ABB)
